Onglet,Section,Nom,Description,Prix,
deguster,Fromages,Cantal éclats de noix au miel,,9€,
deguster,Fromages,Chèvre aux herbes,huile verte,7€,
deguster,Terre,Karage poulet,Mayo wasabi / Teriyaki whisky,11€,
deguster,Terre,Mortadelle de Bologne,pistache / confiture figues piment,12€,
deguster,Terre,Côte de bœuf maturée 30j,300g / sauce béarnaise,28€,
deguster,Mer,Couteaux en persillade,10 pièces,15€,
deguster,Mer,Aile de raie et choux-fleurs rôtis,persillade,10€,
deguster,Mer,Saumon mi-cuit,purée de petits pois / sauce hollandaise,22€,
deguster,Végétarien,Artichauts rôtis,crème de chèvre aux herbes,8€,
deguster,Végétarien,Houmous betterave,frites patate douce / sauce maison,14€,
deguster,Desserts,Mousse chocolat maison,,7€,
deguster,Desserts,Tarte aux pommes,crumble / glace vanille,8€,
,,,,,
cocktails,Signatures,Creamy pistachio,vodka expresso / crème de pistache,12€,
cocktails,Signatures,Red Sangria Sour,,11€,
cocktails,Signatures,White Sangria Sour,,11€,
cocktails,Signatures,Spicy margarita,tequila infusée piment vert et rouge du Maroc,12€,
cocktails,Signatures,Ginmancello Sour,gin limoncello façon sour,12€,
cocktails,Signatures,Green smash,gin infusé persil basilic citron vert,12€,
cocktails,Signatures,Lemon Midori Flower,gin melon citron vert / sirop de sureau,13€,
cocktails,Signatures,Rhumstar martini,rhum épicé / vanille / citron / passion,13€,
cocktails,Signatures,Caribbean passion mule,,12€,
cocktails,Signatures,Cloud lily lavande,gin / sirop de lavande citron jaune / émulsifiant,11€,
cocktails,Signatures,Strawberry New York sour,,13€,
cocktails,Signatures,Blue Jam Sour,confiture de myrtille / granité gin,12€,
cocktails,Classiques,Mule,Caribbean Rhum / Moscow Vodka / London Gin / Mezcal (+2€),10€,
cocktails,Classiques,Sour,amaretto / bourbon / whisky / pisco,11€,
cocktails,Classiques,Spritz,Aperol / Limoncello / Campari / Sureau Hugo,10€,
cocktails,Classiques,Mate Fleurie,rhum / gin / vodka / whisky ou tequila / club mate / citron jaune,11€,
cocktails,Classiques,Cocktail hors carte simple,,10€,
cocktails,Classiques,Cocktail hors carte supérieur,,12€,
,,,,,
chaudes,Boissons chaudes,Café simple,,2€,
